price,year,make,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state
10995.0,2011.0,ford,expedition,good,6 cylinders,other,98733.0,clean,automatic,4wd,full-size,SUV,white,ak
19995.0,2014.0,cadillac,xts platinum,excellent,6 cylinders,gas,93492.0,clean,automatic,4wd,full-size,sedan,silver,ak
27995.0,2013.0,ford,f-150,good,6 cylinders,other,19928.0,clean,automatic,4wd,full-size,pickup,silver,ak
39999.0,2020.0,chevrolet,silverado 1500,good,8 cylinders,gas,27505.0,clean,automatic,4wd,full-size,truck,black,ak
14999.0,2008.0,rover,sport,good,8 cylinders,gas,110854.0,clean,automatic,4wd,full-size,SUV,red,ak
18995.0,2018.0,chevrolet,cruze,good,6 cylinders,gas,13923.0,clean,automatic,4wd,full-size,sedan,white,ak
3900.0,1999.0,ram,1500,good,8 cylinders,gas,210000.0,clean,automatic,4wd,full-size,truck,white,az
33990.0,2018.0,bmw,3 series 328d xdrive sport,good,6 cylinders,gas,30570.0,clean,other,4wd,full-size,wagon,white,az
26499.0,2020.0,dodge,grand caravan sxt,good,6 cylinders,gas,24672.0,clean,automatic,4wd,full-size,van,blue,az
24590.0,2012.0,jeep,wrangler sahara sport,good,6 cylinders,gas,62362.0,clean,other,4wd,full-size,SUV,red,az
49659.0,2019.0,cadillac,xt5 luxury,good,6 cylinders,gas,4000.0,clean,automatic,4wd,full-size,other,blue,az
14800.0,2011.0,jeep,wrangler,good,6 cylinders,gas,110000.0,lien,manual,4wd,full-size,sedan,white,az
10995.0,2009.0,cadillac,cts4,good,6 cylinders,gas,92340.0,clean,automatic,rwd,full-size,sedan,purple,az
19995.0,2008.0,ford,mustang,like new,8 cylinders,gas,23245.0,clean,manual,rwd,compact,coupe,black,az
15872.0,2017.0,honda,civic sedan,good,4 cylinders,gas,76538.0,clean,automatic,fwd,full-size,sedan,white,az
6900.0,2011.0,dodge,grand caravan crew,excellent,6 cylinders,gas,123432.0,clean,automatic,fwd,full-size,van,red,az
25988.0,2013.0,chevrolet,silverado 1500 crew cab,good,8 cylinders,other,118620.0,clean,automatic,4wd,full-size,pickup,red,az
670.0,2018.0,mercedes-benz,gle 350,excellent,6 cylinders,gas,22750.0,clean,automatic,4wd,full-size,SUV,white,az
41500.0,2007.0,ford,f-750,good,6 cylinders,diesel,69829.0,clean,automatic,4wd,full-size,other,white,az
7750.0,2003.0,acura,tl type s,excellent,6 cylinders,gas,85000.0,clean,automatic,4wd,full-size,sedan,white,az
35590.0,2019.0,nissan,titan crew cab sv pickup,good,8 cylinders,gas,24923.0,clean,other,4wd,full-size,pickup,black,az
27590.0,2015.0,toyota,4runner sr5 sport utility,good,6 cylinders,gas,76451.0,clean,automatic,4wd,full-size,other,white,az
27590.0,2015.0,ram,1500 crew cab tradesman,good,6 cylinders,other,48652.0,clean,other,4wd,full-size,pickup,blue,az
15000.0,1994.0,buick,roadmaster estate wagon,excellent,8 cylinders,gas,86000.0,clean,automatic,rwd,full-size,wagon,blue,az
2200.0,2000.0,mitsubishi,montero sport,fair,6 cylinders,gas,186000.0,clean,automatic,rwd,full-size,SUV,white,az
33990.0,2018.0,mercedes-benz,e-class e 300,good,6 cylinders,gas,21619.0,clean,other,rwd,full-size,sedan,white,az
18500.0,2009.0,pontiac,g8 gt,good,6 cylinders,gas,106000.0,clean,automatic,4wd,full-size,sedan,white,az
6995.0,2010.0,chevrolet,cobalt lt,good,4 cylinders,gas,111558.0,clean,automatic,4wd,full-size,sedan,silver,az
36590.0,2020.0,cadillac,ct5 premium luxury,good,6 cylinders,gas,11930.0,clean,other,4wd,full-size,sedan,red,az
5250.0,2009.0,honda,fit,good,6 cylinders,gas,170000.0,clean,manual,4wd,full-size,sedan,white,az
4900.0,2015.0,toyota,prius,excellent,4 cylinders,hybrid,99000.0,clean,automatic,fwd,mid-size,sedan,red,az
29995.0,1992.0,ford,f-250,good,8 cylinders,gas,79000.0,clean,automatic,4wd,full-size,truck,grey,az
17900.0,2014.0,ford,f150 supercrew 4x4,good,6 cylinders,gas,116000.0,clean,automatic,4wd,full-size,pickup,white,az
12500.0,2016.0,nissan,altima,good,4 cylinders,gas,92498.0,clean,automatic,fwd,full-size,sedan,custom,az
776.0,2021.0,mercedes-benz,glc 300,excellent,4 cylinders,gas,2.0,clean,automatic,4wd,full-size,SUV,white,az
25990.0,2014.0,nissan,370z touring coupe 2d,good,6 cylinders,gas,14498.0,clean,automatic,rwd,full-size,coupe,white,az
34590.0,2019.0,lincoln,nautilus reserve sport,good,6 cylinders,gas,42219.0,clean,other,4wd,full-size,other,black,az
3300.0,2003.0,dodge,durango,good,8 cylinders,gas,165.0,clean,automatic,rwd,full-size,SUV,white,az
29990.0,2006.0,ram,2500 4x4 megacab,excellent,6 cylinders,diesel,102000.0,clean,automatic,4wd,full-size,SUV,white,az
7500.0,2005.0,mercedes-benz,benz,like new,6 cylinders,gas,110000.0,clean,automatic,rwd,full-size,wagon,red,az
12900.0,2010.0,lexus,rx 350,like new,6 cylinders,gas,160900.0,clean,automatic,4wd,full-size,sedan,white,az
20590.0,2014.0,jeep,cherokee trailhawk sport,good,6 cylinders,gas,74877.0,clean,other,4wd,full-size,other,white,az
756.0,2020.0,subaru,crosstrek,excellent,4 cylinders,gas,6105.0,clean,automatic,4wd,full-size,SUV,red,az
63995.0,2020.0,ford,f-250 superduty lifted stx 8ft 6.7l diesel,good,8 cylinders,other,21240.0,clean,automatic,4wd,full-size,pickup,white,az
3900.0,2006.0,toyota,tundra 2wd truck,fair,6 cylinders,gas,206300.0,clean,automatic,rwd,full-size,sedan,white,az
27590.0,2020.0,volkswagen,golf gti s hatchback,good,6 cylinders,gas,1309.0,clean,other,fwd,full-size,sedan,red,az
5000.0,2001.0,toyota,highlander,good,6 cylinders,gas,191540.0,clean,automatic,4wd,full-size,sedan,white,az
39990.0,2019.0,nissan,370z nismo coupe 2d,good,6 cylinders,gas,8373.0,clean,other,rwd,full-size,coupe,white,az
28590.0,2018.0,acura,rdx technology and,good,6 cylinders,gas,22703.0,clean,other,fwd,full-size,other,blue,az
32590.0,2018.0,jaguar,f-pace 25t premium sport,good,6 cylinders,other,39505.0,clean,other,4wd,full-size,SUV,blue,az
17990.0,2018.0,toyota,corolla le sedan 4d,good,6 cylinders,gas,19632.0,clean,other,fwd,full-size,sedan,white,az
1000.0,1991.0,buick,park avenue,fair,6 cylinders,gas,156800.0,clean,automatic,fwd,full-size,sedan,blue,az
5990.0,2011.0,chevrolet,malibu,good,6 cylinders,other,117788.0,clean,automatic,fwd,full-size,sedan,white,az
18995.0,2011.0,chevrolet,tahoe ltz,good,8 cylinders,other,128689.0,clean,automatic,4wd,full-size,other,white,az
32990.0,2018.0,ford,f150 super cab xlt pickup,good,6 cylinders,other,11360.0,clean,other,4wd,full-size,pickup,white,az
9995.0,2011.0,lincoln,mkz,excellent,6 cylinders,gas,75437.0,clean,automatic,4wd,full-size,sedan,white,az
37590.0,2018.0,honda,civic type r touring,good,6 cylinders,gas,17745.0,clean,other,fwd,full-size,sedan,red,az
36999.0,2017.0,ram,1500,good,6 cylinders,diesel,47058.0,clean,automatic,4wd,full-size,pickup,white,az
14900.0,2010.0,ford,f-150,excellent,8 cylinders,gas,93482.68528761623,clean,automatic,rwd,full-size,pickup,blue,az
10995.0,2009.0,lexus,is,good,6 cylinders,gas,102493.0,clean,automatic,rwd,full-size,sedan,custom,az
17995.0,2011.0,ford,f-350 sd,good,8 cylinders,diesel,234226.0,clean,automatic,rwd,full-size,truck,white,az
12499.0,2012.0,bmw,x5,good,6 cylinders,gas,114260.0,clean,automatic,4wd,full-size,SUV,silver,az
5995.0,2006.0,toyota,camry solara sle v6,good,6 cylinders,gas,166801.0,clean,automatic,fwd,full-size,convertible,blue,az
30590.0,2018.0,audi,a5 premium sedan 4d,good,6 cylinders,gas,32164.0,clean,other,4wd,full-size,sedan,white,az
